loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
8500,60 months,16.11,207.2,D,10+ years,MORTGAGE,41900,Verified,credit_card,23.99,1,682,29.4,Fully Paid
21700,36 months,11.13,711.77,B,10+ years,MORTGAGE,80300,Not Verified,credit_card,14.92,0,698,79.1,Charged Off
13500,36 months,10.83,440.89,B,4 years,OWN,34700,Verified,medical,16.81,0,700,22.9,Fully Paid
35500,60 months,17.19,885.9,D,1 year,RENT,42400,Not Verified,credit_card,11.72,0,683,48.0,Fully Paid
10900,36 months,20.95,410.38,E,1 year,RENT,48100,Verified,major_purchase,24.06,1,664,8.2,Charged Off
11400,36 months,6.27,348.21,A,7 years,RENT,36800,Not Verified,debt_consolidation,18.47,0,753,75.0,Fully Paid
24200,36 months,15.62,846.27,D,10+ years,MORTGAGE,73000,Verified,debt_consolidation,23.0,0,672,40.1,Fully Paid
14200,60 months,12.95,322.73,C,2 years,MORTGAGE,84100,Source Verified,debt_consolidation,11.93,0,709,70.0,Fully Paid
8100,36 months,13.04,273.08,C,< 1 year,OWN,90900,Not Verified,credit_card,18.83,0,720,39.0,Charged Off
9400,36 months,9.57,301.42,B,10+ years,MORTGAGE,61300,Verified,debt_consolidation,18.14,0,721,,Fully Paid
6200,36 months,9.57,198.81,B,2 years,RENT,135500,Not Verified,debt_consolidation,17.25,0,705,25.2,Fully Paid
9400,60 months,7.58,188.71,A,10+ years,MORTGAGE,39500,Verified,credit_card,11.29,0,757,61.4,Fully Paid
8200,36 months,13.81,279.5,D,9 years,RENT,189500,Verified,debt_consolidation,6.3,0,662,54.6,Fully Paid
4600,36 months,11.23,151.1,B,10+ years,RENT,63000,Verified,debt_consolidation,30.55,0,688,35.3,Fully Paid
24200,36 months,15.14,840.56,C,10+ years,RENT,79300,Not Verified,debt_consolidation,23.75,0,727,40.5,Fully Paid
11200,36 months,11.43,368.96,C,1 year,OWN,68300,Verified,debt_consolidation,22.49,0,686,56.7,Charged Off
14300,60 months,13.04,325.66,C,2 years,MORTGAGE,103700,Source Verified,debt_consolidation,32.09,0,694,51.6,Fully Paid
13100,36 months,14.25,449.32,C,3 years,MORTGAGE,23600,Not Verified,credit_card,13.8,0,715,26.6,Fully Paid
22300,36 months,7.01,688.66,A,2 years,MORTGAGE,56500,Source Verified,credit_card,21.79,0,738,71.4,Fully Paid
6300,60 months,15.61,151.9,C,8 years,MORTGAGE,56300,Not Verified,debt_consolidation,9.14,0,710,41.4,Fully Paid
23500,60 months,6.63,461.24,A,10+ years,RENT,79000,Source Verified,credit_card,15.41,0,735,70.1,Fully Paid
32100,60 months,6.45,627.32,A,10+ years,MORTGAGE,85700,Source Verified,home_improvement,8.44,0,749,31.9,Fully Paid
22900,36 months,9.59,734.52,B,4 years,MORTGAGE,38200,Source Verified,credit_card,27.55,1,712,15.7,Fully Paid
8100,60 months,20.72,217.86,E,1 year,RENT,45400,Not Verified,debt_consolidation,21.52,1,669,35.4,Fully Paid
13900,60 months,10.68,300.01,B,8 years,MORTGAGE,114900,Source Verified,debt_consolidation,9.91,0,710,60.5,Fully Paid
6100,36 months,15.83,213.95,D,3 years,MORTGAGE,39500,Verified,small_business,21.49,0,657,65.6,Fully Paid
4000,60 months,16.62,98.59,D,10+ years,RENT,106800,Verified,debt_consolidation,15.22,1,697,51.2,Fully Paid
28500,36 months,17.31,1020.51,D,2 years,MORTGAGE,76300,Source Verified,medical,8.04,1,692,49.9,Fully Paid
15800,36 months,22.81,610.05,E,10+ years,MORTGAGE,29800,Not Verified,debt_consolidation,12.41,0,680,66.8,Fully Paid
17500,60 months,13.66,404.12,C,10+ years,MORTGAGE,91000,Verified,debt_consolidation,26.59,1,692,74.7,Fully Paid
12700,36 months,10.99,415.72,B,10+ years,MORTGAGE,58600,Verified,credit_card,19.12,1,698,40.3,Fully Paid
10600,36 months,30.0,449.99,G,,OWN,29200,Not Verified,debt_consolidation,16.89,0,625,66.5,Fully Paid
27900,36 months,10.03,900.65,B,8 years,MORTGAGE,61000,Source Verified,debt_consolidation,18.13,2,714,44.8,Fully Paid
9200,60 months,12.78,208.29,C,2 years,MORTGAGE,54200,Verified,small_business,23.29,1,714,59.6,Charged Off
15000,60 months,14.16,350.27,C,10+ years,MORTGAGE,64800,Source Verified,debt_consolidation,7.87,1,709,59.3,Charged Off
6600,36 months,15.31,229.79,D,3 years,RENT,48100,Not Verified,debt_consolidation,8.5,0,690,27.6,Fully Paid
9600,60 months,9.81,203.08,B,5 years,RENT,69400,Verified,debt_consolidation,23.27,1,734,39.4,Fully Paid
15800,60 months,18.21,403.02,E,3 years,MORTGAGE,61000,Not Verified,debt_consolidation,8.75,1,660,86.2,Fully Paid
24200,36 months,9.26,772.49,B,3 years,OWN,68600,Not Verified,debt_consolidation,17.81,1,729,20.4,Fully Paid
10200,36 months,14.74,352.29,C,10+ years,MORTGAGE,74400,Not Verified,debt_consolidation,6.88,0,697,87.1,Fully Paid
7800,36 months,14.09,266.93,C,10+ years,RENT,85400,Verified,debt_consolidation,38.64,2,708,74.1,Charged Off
8900,60 months,16.62,219.37,D,2 years,MORTGAGE,126800,Not Verified,debt_consolidation,13.41,0,668,59.6,Charged Off
9100,60 months,6.44,177.8,A,10+ years,MORTGAGE,70000,Source Verified,debt_consolidation,13.85,1,760,76.5,Fully Paid
40000,36 months,5.11,1200.81,A,8 years,MORTGAGE,27800,Source Verified,home_improvement,25.53,1,753,18.0,Charged Off
6600,60 months,9.69,139.23,B,3 years,RENT,20900,Verified,debt_consolidation,5.81,1,713,24.6,Fully Paid
18500,36 months,6.48,566.84,A,< 1 year,RENT,35200,Source Verified,home_improvement,27.08,1,755,71.1,Fully Paid
23300,60 months,16.31,570.46,D,10+ years,RENT,84600,Verified,debt_consolidation,11.1,1,677,29.3,Fully Paid
8000,36 months,11.25,262.86,B,10+ years,RENT,115600,Not Verified,debt_consolidation,20.07,0,714,19.2,Fully Paid
11500,36 months,5.94,349.54,A,7 years,OWN,64200,Source Verified,home_improvement,14.07,0,736,61.0,Fully Paid
17800,36 months,10.96,582.41,B,10+ years,MORTGAGE,135800,Not Verified,home_improvement,15.67,0,718,75.7,Fully Paid
16700,36 months,12.94,562.21,C,10+ years,OWN,33700,Verified,debt_consolidation,22.19,0,710,70.9,Fully Paid
13600,36 months,14.09,465.41,C,4 years,RENT,88500,Not Verified,debt_consolidation,19.32,0,681,58.6,Charged Off
4100,36 months,18.21,148.66,D,10+ years,MORTGAGE,101500,Verified,debt_consolidation,7.96,0,676,29.3,Charged Off
13400,36 months,17.02,477.88,D,4 years,MORTGAGE,33800,Verified,debt_consolidation,4.38,1,670,39.0,Fully Paid
7700,36 months,16.67,273.26,D,< 1 year,RENT,50800,Source Verified,other,19.08,0,700,16.3,Fully Paid
19600,36 months,12.73,657.86,C,< 1 year,MORTGAGE,188200,Source Verified,debt_consolidation,25.69,1,701,56.6,Charged Off
17900,36 months,8.08,561.58,A,10+ years,MORTGAGE,62800,Verified,debt_consolidation,44.96,1,718,79.0,Fully Paid
12800,36 months,15.57,447.3,C,8 years,RENT,53200,Not Verified,medical,20.37,1,704,63.7,Charged Off
7000,60 months,19.47,183.4,E,10+ years,RENT,51800,Source Verified,debt_consolidation,21.37,0,666,20.9,Charged Off
17400,36 months,8.75,551.29,B,8 years,RENT,34700,Not Verified,debt_consolidation,13.25,1,733,46.1,Fully Paid
7600,60 months,14.23,177.75,C,10+ years,RENT,34500,Verified,debt_consolidation,20.68,0,694,59.2,Charged Off
16100,60 months,13.29,368.72,C,9 years,RENT,68000,Source Verified,debt_consolidation,5.27,1,703,15.9,Fully Paid
10000,60 months,6.36,195.01,A,4 years,MORTGAGE,95200,Verified,credit_card,21.62,0,736,26.7,Fully Paid
5000,36 months,10.08,161.52,B,9 years,MORTGAGE,30500,Verified,debt_consolidation,18.31,1,724,25.8,Fully Paid
7000,36 months,12.24,233.3,B,2 years,MORTGAGE,82300,Not Verified,debt_consolidation,22.44,0,723,44.7,Fully Paid
6600,36 months,10.5,214.52,B,10+ years,MORTGAGE,47800,Not Verified,debt_consolidation,11.31,0,719,60.4,Fully Paid
4100,60 months,11.06,89.27,B,3 years,MORTGAGE,33500,Source Verified,debt_consolidation,7.29,0,719,56.3,Fully Paid
14100,36 months,13.68,479.72,C,6 years,RENT,60100,Source Verified,major_purchase,34.55,0,687,87.0,Charged Off
20700,60 months,6.57,405.7,A,2 years,RENT,45500,Source Verified,debt_consolidation,24.58,0,739,46.6,Fully Paid
11400,36 months,6.8,350.96,A,10+ years,MORTGAGE,64800,Verified,debt_consolidation,9.66,1,754,36.6,Fully Paid
15800,36 months,29.21,663.92,G,10+ years,MORTGAGE,63400,Not Verified,debt_consolidation,29.0,0,653,80.2,Fully Paid
11000,36 months,11.91,364.88,C,5 years,MORTGAGE,54800,Verified,major_purchase,41.37,0,702,32.8,Fully Paid
17800,36 months,14.75,614.87,C,10+ years,MORTGAGE,133700,Source Verified,debt_consolidation,26.56,1,715,11.3,Charged Off
12100,36 months,13.63,411.38,C,10+ years,MORTGAGE,53500,Source Verified,major_purchase,17.32,0,702,34.8,Fully Paid
7500,60 months,19.5,196.62,E,10+ years,MORTGAGE,24600,Verified,debt_consolidation,16.47,0,664,90.7,Charged Off
16900,36 months,8.37,532.47,B,5 years,RENT,83700,Not Verified,debt_consolidation,7.92,0,702,39.9,Charged Off
11300,60 months,10.69,243.95,B,< 1 year,RENT,100700,Not Verified,credit_card,29.85,0,720,46.4,Fully Paid
20000,36 months,13.22,676.0,C,4 years,OWN,101500,Source Verified,debt_consolidation,43.66,0,714,69.4,Fully Paid
10900,36 months,14.19,373.54,C,5 years,MORTGAGE,56700,Not Verified,debt_consolidation,24.85,1,699,35.2,Fully Paid
19100,36 months,14.85,660.71,C,8 years,OWN,42400,Not Verified,debt_consolidation,11.05,0,698,37.8,Fully Paid
11400,36 months,8.22,358.39,A,5 years,OWN,77600,Not Verified,credit_card,12.86,0,759,25.8,Fully Paid
12400,36 months,7.89,387.94,A,10+ years,MORTGAGE,53600,Verified,other,28.34,0,757,80.8,Charged Off
8900,36 months,14.29,305.44,C,7 years,RENT,44400,Source Verified,debt_consolidation,27.81,1,673,63.9,Fully Paid
19000,36 months,25.12,756.64,G,4 years,MORTGAGE,48600,Source Verified,debt_consolidation,33.32,1,661,79.3,Charged Off
3900,36 months,20.34,145.61,G,10+ years,MORTGAGE,104900,Source Verified,credit_card,5.27,1,655,52.4,Fully Paid
13200,60 months,17.93,334.69,D,10+ years,RENT,42700,Not Verified,major_purchase,6.33,0,701,37.4,Fully Paid
18000,36 months,8.01,564.14,A,10+ years,RENT,208800,Source Verified,debt_consolidation,19.83,2,742,41.9,Fully Paid
7200,60 months,13.92,167.23,C,10+ years,MORTGAGE,30100,Verified,credit_card,15.17,0,706,47.6,Fully Paid
13700,60 months,10.39,293.72,B,3 years,RENT,217600,Source Verified,debt_consolidation,27.94,0,707,24.8,Fully Paid
22100,36 months,19.2,812.33,D,7 years,RENT,135200,Not Verified,major_purchase,27.65,0,667,66.3,Fully Paid
17400,36 months,26.56,706.26,F,2 years,RENT,272700,Verified,debt_consolidation,17.61,0,658,69.8,Charged Off
7300,36 months,6.88,225.0,A,2 years,RENT,76200,Source Verified,credit_card,21.35,0,732,54.9,Fully Paid
10500,36 months,10.19,339.74,B,4 years,MORTGAGE,26200,Verified,debt_consolidation,17.56,0,724,51.3,Fully Paid
7900,36 months,7.36,245.23,A,1 year,RENT,68700,Verified,debt_consolidation,23.15,1,748,68.6,Charged Off
9300,36 months,20.89,349.85,F,6 years,MORTGAGE,29300,Not Verified,car,13.08,0,662,33.5,Fully Paid
5700,36 months,9.56,182.75,B,9 years,MORTGAGE,53800,Not Verified,debt_consolidation,21.16,0,709,31.4,Fully Paid
36400,60 months,9.24,759.85,B,10+ years,RENT,102000,Verified,credit_card,7.12,1,738,56.6,Fully Paid
16300,36 months,17.87,588.22,E,10+ years,RENT,102700,Not Verified,debt_consolidation,24.02,0,663,40.1,Charged Off
19000,36 months,15.56,663.86,C,10+ years,MORTGAGE,59500,Verified,credit_card,21.45,0,703,82.5,Fully Paid
5500,36 months,10.51,178.79,B,10+ years,RENT,92900,Not Verified,credit_card,18.24,0,708,60.6,Fully Paid
6900,36 months,14.0,235.83,C,5 years,RENT,38500,Verified,debt_consolidation,21.82,0,690,45.7,Fully Paid
6100,60 months,14.47,143.43,C,4 years,MORTGAGE,54300,Verified,other,19.49,0,697,66.6,Charged Off
16200,36 months,13.06,546.31,B,10+ years,RENT,158900,Verified,home_improvement,24.2,0,717,39.4,Fully Paid
19500,36 months,9.53,624.92,B,< 1 year,OWN,152800,Source Verified,credit_card,6.79,0,715,79.2,Fully Paid
26400,60 months,12.9,599.33,C,,MORTGAGE,73000,Verified,small_business,5.9,0,710,64.5,Fully Paid
15600,36 months,11.67,515.69,B,10+ years,RENT,12000,Source Verified,debt_consolidation,11.67,0,715,35.2,Fully Paid
3900,36 months,18.34,141.66,D,6 years,RENT,154900,Verified,other,20.64,0,691,27.8,Charged Off
14900,60 months,13.98,346.54,C,10+ years,MORTGAGE,52900,Not Verified,debt_consolidation,10.42,0,716,42.8,Charged Off
11100,60 months,10.44,238.25,B,10+ years,MORTGAGE,55000,Not Verified,other,12.37,1,701,32.3,Fully Paid
21100,36 months,13.7,718.08,C,2 years,MORTGAGE,66300,Verified,debt_consolidation,25.72,0,679,25.9,Fully Paid
2800,36 months,7.52,87.12,A,10+ years,MORTGAGE,87500,Not Verified,debt_consolidation,24.28,2,745,84.6,Fully Paid
11900,36 months,15.34,414.5,D,1 year,MORTGAGE,81200,Verified,credit_card,16.72,2,691,29.6,Fully Paid
7500,36 months,20.14,279.26,E,10+ years,MORTGAGE,12000,Source Verified,debt_consolidation,28.0,0,662,2.9,Fully Paid
3900,36 months,13.45,132.25,C,10+ years,MORTGAGE,139400,Source Verified,debt_consolidation,18.96,0,691,39.0,Fully Paid
14900,36 months,14.82,515.2,C,10+ years,RENT,44800,Not Verified,debt_consolidation,17.12,0,703,18.9,Fully Paid
17100,60 months,22.48,476.96,F,4 years,OWN,206500,Not Verified,debt_consolidation,11.44,0,664,58.8,Fully Paid
19300,60 months,7.92,390.6,A,< 1 year,MORTGAGE,62100,Not Verified,home_improvement,11.08,2,757,59.9,Fully Paid
6500,36 months,15.68,227.5,D,3 years,MORTGAGE,46200,Verified,credit_card,37.7,1,676,50.8,Charged Off
13900,60 months,13.93,322.92,C,10+ years,RENT,127600,Source Verified,home_improvement,19.14,1,688,79.9,Charged Off
10400,36 months,10.24,336.75,B,6 years,RENT,167200,Not Verified,debt_consolidation,37.33,1,711,45.8,Fully Paid
19700,36 months,20.54,737.55,E,10+ years,RENT,79200,Verified,credit_card,15.26,0,687,52.3,Fully Paid
38300,60 months,17.63,964.88,D,5 years,MORTGAGE,103100,Not Verified,home_improvement,16.38,1,682,77.3,Fully Paid
5400,60 months,7.57,108.38,A,3 years,MORTGAGE,65500,Not Verified,other,37.78,0,713,65.5,Fully Paid
28100,36 months,8.29,884.32,A,7 years,RENT,77400,Source Verified,debt_consolidation,24.2,0,754,36.4,Charged Off
14700,60 months,15.32,352.19,D,10+ years,RENT,38800,Source Verified,debt_consolidation,14.22,0,692,29.9,Fully Paid
14000,60 months,30.0,452.95,G,10+ years,RENT,38600,Not Verified,home_improvement,32.39,1,642,47.8,Charged Off
13000,36 months,10.1,420.08,B,7 years,RENT,57700,Verified,credit_card,28.09,1,711,57.7,Charged Off
7600,36 months,6.73,233.73,A,10+ years,RENT,39100,Not Verified,debt_consolidation,7.53,0,728,61.3,Fully Paid
19700,36 months,13.8,671.39,C,10+ years,MORTGAGE,41400,Not Verified,debt_consolidation,22.9,0,704,58.3,Charged Off
15200,36 months,13.03,512.37,C,2 years,MORTGAGE,53600,Verified,debt_consolidation,17.0,2,680,30.9,Fully Paid
40000,60 months,8.46,819.89,A,10+ years,OWN,37000,Not Verified,debt_consolidation,29.04,1,771,92.3,Fully Paid
10700,36 months,11.99,355.34,B,,RENT,93300,Not Verified,debt_consolidation,15.29,0,737,42.5,Fully Paid
9600,60 months,16.88,237.97,D,3 years,OWN,57100,Not Verified,debt_consolidation,12.6,0,682,41.7,Fully Paid
23100,36 months,10.94,755.61,B,6 years,MORTGAGE,80000,Not Verified,debt_consolidation,24.43,0,735,22.8,Fully Paid
22800,36 months,18.2,826.56,D,2 years,RENT,116600,Source Verified,car,19.45,1,673,45.1,Fully Paid
14600,36 months,7.05,451.14,A,1 year,RENT,85300,Verified,debt_consolidation,15.85,0,738,78.6,Charged Off
30800,36 months,10.71,1004.13,B,10+ years,MORTGAGE,127300,Source Verified,credit_card,26.1,0,710,9.1,Fully Paid
7400,36 months,17.2,264.57,D,< 1 year,MORTGAGE,56500,Not Verified,debt_consolidation,17.82,0,684,14.4,Fully Paid
11000,36 months,18.06,398.01,D,6 years,MORTGAGE,52200,Not Verified,credit_card,24.68,0,692,61.3,Fully Paid
33300,36 months,13.37,1127.95,C,2 years,MORTGAGE,92400,Source Verified,debt_consolidation,29.19,0,697,86.8,Fully Paid
6400,60 months,9.31,133.82,B,7 years,MORTGAGE,105500,Source Verified,credit_card,18.21,2,720,,Fully Paid
9300,60 months,6.47,181.83,A,2 years,RENT,67400,Not Verified,car,12.0,2,728,37.2,Fully Paid
6800,60 months,18.39,174.12,E,3 years,MORTGAGE,32500,Not Verified,debt_consolidation,12.84,1,693,68.3,Fully Paid
19000,60 months,10.46,408.01,C,3 years,MORTGAGE,51400,Source Verified,home_improvement,23.63,0,685,35.1,Fully Paid
26300,36 months,5.74,797.0,A,10+ years,MORTGAGE,129200,Source Verified,debt_consolidation,25.37,1,753,28.5,Fully Paid
19400,36 months,10.74,632.75,B,9 years,MORTGAGE,22600,Source Verified,debt_consolidation,19.43,0,708,45.7,Fully Paid
14200,36 months,13.29,480.44,B,2 years,RENT,36000,Verified,debt_consolidation,3.59,0,709,51.5,Fully Paid
14200,36 months,14.78,490.72,D,10+ years,MORTGAGE,66100,Verified,major_purchase,19.91,0,708,31.3,Fully Paid
19400,36 months,10.48,630.36,B,3 years,RENT,39100,Source Verified,debt_consolidation,22.33,0,710,41.5,Charged Off
9400,36 months,12.87,316.13,C,10+ years,RENT,111900,Not Verified,credit_card,12.54,1,706,67.7,Fully Paid
13500,36 months,10.98,441.84,B,6 years,MORTGAGE,44500,Verified,debt_consolidation,20.11,0,722,,Fully Paid
4900,36 months,10.61,159.52,B,10+ years,RENT,25800,Verified,credit_card,16.89,1,729,75.9,Fully Paid
10300,36 months,6.71,316.67,A,10+ years,MORTGAGE,43200,Verified,car,30.02,1,727,26.0,Charged Off
7200,36 months,8.11,225.99,A,,RENT,86300,Not Verified,major_purchase,25.68,0,727,42.2,Fully Paid
3900,60 months,13.57,89.88,C,10+ years,MORTGAGE,85300,Not Verified,debt_consolidation,9.79,1,707,76.2,Fully Paid
7100,60 months,6.41,138.62,A,10+ years,MORTGAGE,32500,Verified,debt_consolidation,13.01,0,735,48.4,Fully Paid
20600,36 months,12.35,687.66,C,5 years,RENT,53500,Not Verified,home_improvement,28.88,0,698,42.7,Fully Paid
20300,36 months,11.7,671.35,B,1 year,MORTGAGE,108800,Verified,debt_consolidation,22.24,0,712,46.5,Charged Off
10300,36 months,7.49,320.35,A,9 years,RENT,146300,Verified,credit_card,27.52,0,746,35.2,Fully Paid
4600,60 months,9.46,96.52,B,3 years,RENT,62800,Not Verified,debt_consolidation,29.87,0,713,27.0,Fully Paid
