request_id,loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status,timestamp
REQ-00040,21000,36 months,19.1,765.54,D,,OWN,38579.0,Verified,credit_card,13.03,1,670,15.37,Fully Paid,2026-03-11 18:00:00
REQ-00041,9600,60 months,22.68,244.72,E,5 years,OWN,72962.0,Source Verified,credit_card,19.75,0,663,58.4,Fully Paid,2026-05-06 00:00:00
REQ-00042,26000,60 months,13.55,546.68,B,6 years,MORTGAGE,253417.0,Verified,credit_card,11.05,3,733,82.73,Fully Paid,2026-04-29 07:00:00
REQ-00043,21300,36 months,14.27,710.21,B,3 years,MORTGAGE,69483.0,Source Verified,debt_consolidation,13.87,0,712,48.67,Fully Paid,2026-04-02 16:00:00
REQ-00044,13000,36 months,19.48,479.69,E,10+ years,RENT,37200.0,Source Verified,debt_consolidation,10.27,0,657,37.1,Fully Paid,2026-03-03 07:00:00
REQ-00045,22500,36 months,16.24,733.85,B,6 years,RENT,93194.0,Not Verified,small_business,6.18,1,718,70.43,Fully Paid,2026-05-24 04:00:00
REQ-00046,40000,60 months,9.7,795.83,A,10+ years,MORTGAGE,31802.0,Verified,debt_consolidation,21.16,0,741,86.63,Fully Paid,2026-04-11 02:00:00
REQ-00047,10500,60 months,19.61,247.65,C,5 years,MORTGAGE,35467.0,Source Verified,debt_consolidation,26.17,1,695,52.47,Fully Paid,2026-05-16 07:00:00
REQ-00048,5100,60 months,16.74,115.36,B,5 years,RENT,44917.0,Not Verified,debt_consolidation,34.61,0,724,67.33,Fully Paid,2026-04-28 04:00:00
REQ-00049,12800,36 months,15.79,420.82,C,10+ years,MORTGAGE,73288.0,Not Verified,debt_consolidation,20.77,0,712,69.3,Fully Paid,2026-05-08 22:00:00
REQ-00050,6300,36 months,14.4,202.99,B,6 years,MORTGAGE,97825.0,Source Verified,credit_card,21.46,0,704,79.2,Fully Paid,2026-05-09 20:00:00
REQ-00051,40000,36 months,20.52,1476.78,E,2 years,RENT,32008.0,Not Verified,credit_card,7.0,1,651,52.43,Fully Paid,2026-03-17 05:00:00
REQ-00052,5000,36 months,8.22,152.61,A,10+ years,MORTGAGE,161608.0,Source Verified,debt_consolidation,23.86,0,768,43.07,Fully Paid,2026-04-04 06:00:00
REQ-00053,17500,36 months,27.2,693.02,F,3 years,OWN,79012.0,Verified,debt_consolidation,18.76,1,646,37.83,Fully Paid,2026-04-08 12:00:00
REQ-00054,22800,36 months,14.58,758.16,C,3 years,MORTGAGE,95138.0,Verified,debt_consolidation,16.78,0,700,54.13,Fully Paid,2026-04-11 12:00:00
REQ-00055,8500,36 months,17.28,304.23,D,8 years,MORTGAGE,85000.0,Source Verified,debt_consolidation,14.22,1,707,71.9,Charged Off,2026-03-05 08:00:00
REQ-00056,10000,36 months,13.44,324.74,B,10+ years,RENT,55912.0,Not Verified,major_purchase,31.74,1,706,39.1,Fully Paid,2026-04-18 14:00:00
REQ-00057,11000,36 months,16.02,384.13,D,5 years,MORTGAGE,94783.0,Verified,debt_consolidation,19.16,0,709,54.97,Charged Off,2026-03-10 00:00:00
REQ-00058,8700,36 months,23.42,320.76,F,10+ years,RENT,119917.0,Verified,credit_card,27.16,0,670,63.93,Charged Off,2026-04-29 17:00:00
REQ-00059,18200,36 months,14.67,593.0,C,3 years,MORTGAGE,26000.0,Verified,debt_consolidation,27.65,0,700,56.03,Charged Off,2026-04-28 21:00:00
REQ-00060,10800,60 months,18.1,243.53,C,10+ years,MORTGAGE,67679.0,Not Verified,credit_card,16.0,0,693,63.93,Fully Paid,2026-05-19 17:00:00
REQ-00061,14000,36 months,17.45,474.76,C,10+ years,MORTGAGE,55750.0,Not Verified,debt_consolidation,29.07,0,688,28.73,Fully Paid,2026-04-29 03:00:00
REQ-00062,11900,60 months,15.48,273.69,C,< 1 year,RENT,67375.0,Not Verified,debt_consolidation,22.35,0,708,38.17,Fully Paid,2026-04-01 16:00:00
REQ-00063,23800,60 months,14.62,495.44,B,10+ years,RENT,116704.0,Source Verified,credit_card,21.38,0,703,46.23,Fully Paid,2026-05-18 21:00:00
REQ-00064,18900,36 months,12.13,611.0,B,6 years,RENT,80300.0,Verified,medical,11.0,1,738,60.07,Fully Paid,2026-04-03 22:00:00
REQ-00065,10500,36 months,15.01,356.37,C,5 years,RENT,72844.0,Source Verified,debt_consolidation,9.92,0,729,47.9,Fully Paid,2026-03-26 20:00:00
REQ-00066,20600,36 months,11.74,633.62,B,3 years,OWN,41088.0,Not Verified,debt_consolidation,44.79,1,754,63.07,Fully Paid,2026-05-16 19:00:00
REQ-00067,13600,36 months,11.7,436.92,B,3 years,MORTGAGE,99550.0,Not Verified,home_improvement,18.27,0,728,93.17,Fully Paid,2026-04-03 22:00:00
REQ-00068,11300,36 months,18.21,409.71,D,7 years,RENT,113500.0,Verified,debt_consolidation,23.41,0,667,77.0,Charged Off,2026-03-03 01:00:00
REQ-00069,28500,60 months,16.3,660.19,C,4 years,RENT,47927.0,Not Verified,credit_card,18.6,0,697,67.33,Fully Paid,2026-04-06 11:00:00
REQ-00070,18800,60 months,18.52,437.64,D,10+ years,MORTGAGE,70200.0,Verified,major_purchase,10.11,0,704,55.5,Fully Paid,2026-05-06 23:00:00
REQ-00071,3700,36 months,7.73,113.79,A,2 years,MORTGAGE,89317.0,Source Verified,credit_card,21.87,0,767,23.83,Fully Paid,2026-03-19 08:00:00
REQ-00072,11800,36 months,8.87,360.96,A,10+ years,OWN,50615.0,Not Verified,major_purchase,29.75,0,748,56.53,Fully Paid,2026-04-07 16:00:00
REQ-00073,10100,36 months,9.4,320.71,B,10+ years,MORTGAGE,45238.0,Not Verified,credit_card,23.54,0,724,54.67,Charged Off,2026-03-14 11:00:00
REQ-00074,40000,36 months,17.58,1358.96,C,10+ years,MORTGAGE,17667.0,Verified,home_improvement,10.06,0,695,62.33,Fully Paid,2026-05-01 01:00:00
REQ-00075,5400,36 months,30.32,222.84,G,1 year,MORTGAGE,60738.0,Verified,debt_consolidation,24.23,0,637,54.13,Charged Off,2026-04-11 05:00:00
REQ-00076,8300,36 months,8.14,254.92,A,8 years,OWN,52406.0,Verified,credit_card,7.42,0,720,88.4,Fully Paid,2026-03-23 18:00:00
REQ-00077,8500,36 months,9.27,267.42,A,8 years,MORTGAGE,160233.0,Verified,credit_card,13.23,0,743,98.83,Fully Paid,2026-03-21 16:00:00
REQ-00078,13700,36 months,20.01,488.51,D,10+ years,MORTGAGE,74200.0,Verified,debt_consolidation,15.06,1,712,83.3,Charged Off,2026-04-14 10:00:00
REQ-00079,9500,36 months,16.67,318.58,C,4 years,MORTGAGE,46250.0,Source Verified,home_improvement,11.66,2,704,58.63,Fully Paid,2026-04-30 03:00:00
REQ-00080,15900,60 months,12.72,316.49,B,10+ years,MORTGAGE,74231.0,Source Verified,debt_consolidation,5.99,0,735,58.33,Fully Paid,2026-05-21 01:00:00
REQ-00081,6100,36 months,14.31,202.05,C,9 years,RENT,120310.0,Not Verified,small_business,22.75,0,702,61.53,Fully Paid,2026-04-11 17:00:00
REQ-00082,13400,36 months,12.2,443.15,B,9 years,MORTGAGE,72948.0,Not Verified,debt_consolidation,14.8,0,686,23.27,Fully Paid,2026-03-10 22:00:00
REQ-00083,7400,36 months,20.49,260.13,C,10+ years,MORTGAGE,42656.0,Verified,credit_card,26.97,0,715,101.6,Fully Paid,2026-05-05 16:00:00
REQ-00084,7200,36 months,28.12,284.83,F,9 years,MORTGAGE,74996.0,Verified,credit_card,30.82,1,669,80.67,Fully Paid,2026-04-22 09:00:00
REQ-00085,4200,60 months,28.11,121.09,G,3 years,MORTGAGE,26083.0,Not Verified,debt_consolidation,24.35,0,659,72.53,Charged Off,2026-04-29 12:00:00
REQ-00086,19500,36 months,12.62,648.8,B,2 years,OWN,59044.0,Not Verified,debt_consolidation,5.51,0,730,56.17,Fully Paid,2026-03-10 06:00:00
REQ-00087,17400,36 months,12.05,565.95,B,10+ years,RENT,97875.0,Not Verified,debt_consolidation,9.62,0,709,43.5,Fully Paid,2026-03-24 05:00:00
REQ-00088,14200,36 months,17.41,477.84,C,1 year,MORTGAGE,99856.0,Not Verified,small_business,16.67,1,693,63.3,Fully Paid,2026-05-05 14:00:00
REQ-00089,6700,60 months,10.91,130.81,A,,MORTGAGE,38269.0,Not Verified,credit_card,2.41,0,724,57.9,Fully Paid,2026-05-07 06:00:00
REQ-00090,10900,36 months,12.28,350.59,B,4 years,MORTGAGE,52048.0,Verified,credit_card,15.89,0,720,34.63,Fully Paid,2026-04-08 09:00:00
REQ-00091,29100,60 months,19.56,693.2,C,6 years,OWN,86694.0,Verified,credit_card,14.98,0,689,90.9,Fully Paid,2026-05-06 17:00:00
REQ-00092,6000,36 months,18.64,204.02,C,10+ years,OWN,29767.0,Not Verified,medical,21.8,0,712,106.17,Charged Off,2026-05-16 00:00:00
REQ-00093,4100,36 months,19.88,147.98,D,10+ years,MORTGAGE,78375.0,Verified,credit_card,11.46,0,687,57.47,Fully Paid,2026-03-31 16:00:00
REQ-00094,4900,60 months,22.2,122.31,D,10+ years,MORTGAGE,39346.0,Verified,debt_consolidation,23.62,0,683,83.97,Charged Off,2026-05-17 08:00:00
REQ-00095,8800,60 months,8.95,176.12,B,6 years,RENT,26625.0,Source Verified,credit_card,14.42,1,734,41.4,Fully Paid,2026-03-28 06:00:00
REQ-00096,7700,36 months,14.79,262.38,C,,RENT,156688.0,Not Verified,debt_consolidation,28.23,0,694,28.73,Fully Paid,2026-03-17 05:00:00
REQ-00097,11100,36 months,14.66,361.62,B,10+ years,MORTGAGE,35167.0,Not Verified,debt_consolidation,32.4,0,718,89.33,Fully Paid,2026-04-29 04:00:00
REQ-00098,10500,36 months,24.63,396.29,F,,MORTGAGE,18621.0,Source Verified,debt_consolidation,14.68,0,678,51.97,Charged Off,2026-04-21 06:00:00
REQ-00099,17800,36 months,14.25,606.2,C,4 years,MORTGAGE,20073.0,Source Verified,credit_card,19.46,0,694,26.47,Fully Paid,2026-03-10 21:00:00
REQ-00100,18300,60 months,16.86,410.41,C,5 years,RENT,30631.0,Not Verified,debt_consolidation,24.15,0,703,74.2,Charged Off,2026-05-06 13:00:00
REQ-00101,37300,36 months,15.57,1285.18,D,2 years,RENT,108483.0,Not Verified,debt_consolidation,16.02,0,689,56.73,Fully Paid,2026-03-16 21:00:00
REQ-00102,13600,60 months,14.98,292.18,B,8 years,RENT,57119.0,Not Verified,debt_consolidation,28.47,0,707,72.9,Charged Off,2026-05-04 02:00:00
REQ-00103,16700,36 months,7.02,515.8,A,10+ years,RENT,73500.0,Verified,credit_card,19.16,0,738,42.7,Fully Paid,2026-03-05 01:00:00
REQ-00104,7100,36 months,20.39,249.23,D,10+ years,RENT,16981.0,Source Verified,debt_consolidation,6.73,0,700,36.0,Fully Paid,2026-05-08 21:00:00
REQ-00105,8300,36 months,16.92,277.35,C,10+ years,MORTGAGE,70606.0,Source Verified,debt_consolidation,20.28,1,702,39.5,Fully Paid,2026-05-06 02:00:00
REQ-00106,6300,60 months,18.27,145.84,D,6 years,MORTGAGE,54844.0,Not Verified,credit_card,32.66,0,685,100.2,Fully Paid,2026-05-10 00:00:00
REQ-00107,17400,60 months,20.27,430.29,D,4 years,RENT,38267.0,Verified,debt_consolidation,18.75,0,673,23.57,Fully Paid,2026-04-22 14:00:00
REQ-00108,9600,36 months,19.29,341.26,F,10+ years,MORTGAGE,42194.0,Source Verified,other,30.45,0,685,69.63,Charged Off,2026-04-12 07:00:00
REQ-00109,6400,60 months,13.59,134.69,B,< 1 year,MORTGAGE,97417.0,Verified,debt_consolidation,17.44,1,719,37.43,Fully Paid,2026-04-28 15:00:00
REQ-00110,17600,36 months,19.01,631.96,D,3 years,MORTGAGE,51281.0,Source Verified,debt_consolidation,12.26,0,697,58.3,Charged Off,2026-03-26 18:00:00
REQ-00111,4100,36 months,14.66,132.6,C,,MORTGAGE,86694.0,Verified,debt_consolidation,7.54,0,713,41.0,Fully Paid,2026-05-09 08:00:00
REQ-00112,3800,36 months,14.25,124.86,B,2 years,MORTGAGE,68075.0,Not Verified,credit_card,8.23,0,726,93.2,Fully Paid,2026-04-13 09:00:00
REQ-00113,19000,36 months,9.85,589.71,A,5 years,RENT,45688.0,Source Verified,debt_consolidation,26.12,0,749,77.63,Fully Paid,2026-04-12 12:00:00
REQ-00114,11500,36 months,12.38,367.73,B,3 years,MORTGAGE,36050.0,Not Verified,debt_consolidation,13.26,0,714,65.3,Fully Paid,2026-04-15 13:00:00
REQ-00115,10100,36 months,10.12,312.41,A,3 years,MORTGAGE,51800.0,Verified,debt_consolidation,13.81,1,745,35.1,Fully Paid,2026-04-16 11:00:00
REQ-00116,14100,60 months,13.24,322.55,C,1 year,RENT,84900.0,Not Verified,debt_consolidation,29.45,0,693,24.5,Fully Paid,2026-03-06 09:00:00
REQ-00117,4500,36 months,8.36,140.72,A,10+ years,MORTGAGE,42790.0,Verified,debt_consolidation,12.61,0,747,69.37,Fully Paid,2026-03-13 12:00:00
REQ-00118,14900,36 months,10.81,479.45,B,10+ years,MORTGAGE,25779.0,Verified,major_purchase,15.35,0,747,37.93,Fully Paid,2026-03-16 03:00:00
REQ-00119,8000,36 months,7.25,246.1,A,7 years,MORTGAGE,43573.0,Not Verified,debt_consolidation,17.21,1,734,74.67,Fully Paid,2026-03-15 01:00:00
REQ-00120,6700,36 months,25.66,259.91,G,4 years,MORTGAGE,74354.0,Not Verified,major_purchase,19.91,0,678,93.53,Fully Paid,2026-04-10 08:00:00
REQ-00121,14200,60 months,18.0,330.41,D,10+ years,MORTGAGE,44583.0,Source Verified,debt_consolidation,45.94,0,698,57.13,Charged Off,2026-05-03 23:00:00
REQ-00122,13900,36 months,23.21,514.52,E,< 1 year,RENT,102073.0,Verified,debt_consolidation,4.86,0,688,86.17,Fully Paid,2026-04-23 07:00:00
REQ-00123,24500,60 months,9.45,484.55,A,1 year,RENT,43179.0,Verified,credit_card,11.16,1,748,39.43,Fully Paid,2026-04-10 07:00:00
REQ-00124,14700,60 months,14.05,305.5,C,5 years,MORTGAGE,57554.0,Not Verified,debt_consolidation,9.98,0,713,41.37,Fully Paid,2026-05-14 02:00:00
REQ-00125,19200,60 months,10.53,385.0,B,10+ years,MORTGAGE,63175.0,Not Verified,debt_consolidation,27.55,1,763,47.1,Charged Off,2026-04-19 05:00:00
REQ-00126,16000,36 months,19.75,592.58,E,10+ years,RENT,37900.0,Verified,debt_consolidation,12.23,0,672,60.1,Charged Off,2026-03-07 19:00:00
REQ-00127,9800,60 months,20.2,236.76,E,10+ years,RENT,83038.0,Not Verified,debt_consolidation,20.08,1,673,53.6,Fully Paid,2026-05-10 08:00:00
REQ-00128,3800,36 months,19.94,135.37,D,1 year,OWN,19250.0,Not Verified,debt_consolidation,16.02,0,688,54.7,Charged Off,2026-04-16 12:00:00
REQ-00129,11300,60 months,12.71,235.72,B,10+ years,RENT,127015.0,Source Verified,debt_consolidation,22.05,0,714,28.47,Charged Off,2026-04-25 12:00:00
REQ-00130,14200,36 months,14.11,465.63,B,3 years,MORTGAGE,58712.0,Not Verified,credit_card,11.82,0,713,69.3,Charged Off,2026-04-15 12:00:00
REQ-00131,10600,60 months,15.76,239.88,C,9 years,MORTGAGE,68250.0,Verified,debt_consolidation,14.21,0,690,68.5,Fully Paid,2026-04-16 05:00:00
REQ-00132,10900,36 months,15.08,375.61,C,7 years,OWN,42398.0,Not Verified,debt_consolidation,17.26,0,689,11.17,Fully Paid,2026-03-14 07:00:00
REQ-00133,21400,36 months,13.1,691.52,C,8 years,MORTGAGE,37712.0,Not Verified,home_improvement,49.24,0,717,84.6,Charged Off,2026-04-13 13:00:00
REQ-00134,8000,36 months,25.13,299.88,E,,RENT,85312.0,Source Verified,home_improvement,13.4,1,673,72.7,Fully Paid,2026-05-08 23:00:00
REQ-00135,10600,36 months,18.14,376.02,D,10+ years,RENT,40406.0,Source Verified,major_purchase,9.67,0,695,50.6,Fully Paid,2026-03-23 02:00:00
REQ-00136,17900,36 months,9.89,547.72,A,10+ years,RENT,33483.0,Not Verified,credit_card,17.6,1,751,54.87,Fully Paid,2026-04-24 01:00:00
REQ-00137,10500,60 months,11.35,230.13,B,6 years,MORTGAGE,138200.0,Verified,debt_consolidation,18.05,0,724,51.5,Fully Paid,2026-03-05 08:00:00
REQ-00138,11600,36 months,16.01,396.52,C,3 years,RENT,54450.0,Not Verified,debt_consolidation,22.64,0,666,97.97,Fully Paid,2026-04-02 06:00:00
REQ-00139,7800,36 months,13.98,257.14,C,10+ years,RENT,61992.0,Not Verified,debt_consolidation,13.05,1,711,82.73,Fully Paid,2026-04-09 11:00:00
REQ-00140,14300,36 months,18.01,478.46,E,1 year,MORTGAGE,92808.0,Verified,debt_consolidation,32.07,0,682,57.63,Charged Off,2026-05-21 10:00:00
REQ-00141,14000,36 months,11.66,456.09,B,7 years,MORTGAGE,58075.0,Not Verified,debt_consolidation,13.97,0,716,82.33,Fully Paid,2026-03-18 20:00:00
REQ-00142,10400,36 months,10.28,329.65,B,10+ years,MORTGAGE,42844.0,Verified,debt_consolidation,35.57,0,694,15.2,Fully Paid,2026-03-26 03:00:00
REQ-00143,16500,36 months,21.55,609.42,F,8 years,MORTGAGE,33825.0,Verified,credit_card,21.37,1,677,72.27,Fully Paid,2026-04-02 23:00:00
REQ-00144,21100,60 months,23.75,538.68,D,2 years,RENT,71842.0,Not Verified,credit_card,28.12,1,704,74.43,Fully Paid,2026-05-23 08:00:00
REQ-00145,5800,36 months,16.66,191.7,B,10+ years,MORTGAGE,46075.0,Verified,debt_consolidation,6.47,0,707,43.17,Fully Paid,2026-05-14 20:00:00
REQ-00146,9400,60 months,13.57,216.63,D,2 years,MORTGAGE,97500.0,Not Verified,credit_card,33.99,1,656,47.5,Charged Off,2026-03-06 11:00:00
REQ-00147,7800,36 months,12.61,257.62,B,2 years,RENT,73121.0,Not Verified,major_purchase,19.65,0,710,55.63,Charged Off,2026-03-21 20:00:00
REQ-00148,10100,36 months,12.36,315.85,A,2 years,RENT,47369.0,Source Verified,debt_consolidation,20.65,0,757,53.8,Fully Paid,2026-05-10 22:00:00
REQ-00149,40000,36 months,17.67,1439.48,D,9 years,MORTGAGE,19900.0,Not Verified,credit_card,18.09,0,691,84.2,Fully Paid,2026-03-02 18:00:00
REQ-00150,21800,36 months,18.39,738.63,D,4 years,MORTGAGE,38554.0,Source Verified,debt_consolidation,20.18,1,678,74.27,Fully Paid,2026-05-15 23:00:00
REQ-00151,8900,36 months,11.17,285.8,B,9 years,MORTGAGE,69375.0,Source Verified,debt_consolidation,17.44,1,713,46.2,Fully Paid,2026-03-24 13:00:00
REQ-00152,13600,60 months,17.34,301.43,C,10+ years,MORTGAGE,39621.0,Source Verified,other,20.07,0,691,96.43,Charged Off,2026-05-19 09:00:00
REQ-00153,11900,36 months,8.41,366.95,B,2 years,MORTGAGE,66375.0,Not Verified,debt_consolidation,11.32,2,770,82.1,Fully Paid,2026-03-28 13:00:00
REQ-00154,13200,36 months,16.72,452.56,D,10+ years,MORTGAGE,55990.0,Source Verified,credit_card,26.48,0,716,17.13,Fully Paid,2026-04-06 11:00:00
REQ-00155,17800,36 months,13.86,577.37,B,10+ years,RENT,59621.0,Source Verified,credit_card,22.16,0,729,62.67,Fully Paid,2026-04-25 22:00:00
REQ-00156,27500,36 months,11.86,905.01,B,10+ years,MORTGAGE,66583.0,Not Verified,debt_consolidation,11.0,0,731,52.27,Fully Paid,2026-03-14 09:00:00
REQ-00157,21100,36 months,10.45,655.86,B,10+ years,RENT,92750.0,Verified,credit_card,15.05,0,735,85.9,Fully Paid,2026-04-19 23:00:00
REQ-00158,17800,60 months,16.29,407.65,C,8 years,RENT,23450.0,Not Verified,debt_consolidation,25.13,0,690,78.5,Fully Paid,2026-04-17 16:00:00
REQ-00159,17700,36 months,26.09,672.22,F,7 years,MORTGAGE,29169.0,Verified,debt_consolidation,31.82,0,636,70.1,Charged Off,2026-05-10 02:00:00
REQ-00160,7700,60 months,15.94,165.27,C,4 years,MORTGAGE,56271.0,Verified,medical,25.22,0,664,80.53,Fully Paid,2026-05-18 19:00:00
REQ-00161,15000,36 months,13.79,486.05,B,3 years,RENT,23575.0,Verified,home_improvement,16.87,0,710,91.47,Fully Paid,2026-04-26 05:00:00
REQ-00162,24800,60 months,12.17,529.0,C,7 years,RENT,63525.0,Verified,small_business,17.07,1,720,71.57,Fully Paid,2026-03-31 02:00:00
REQ-00163,25200,36 months,14.37,841.46,C,4 years,MORTGAGE,78283.0,Not Verified,debt_consolidation,6.72,1,674,54.37,Charged Off,2026-04-01 04:00:00
REQ-00164,35200,36 months,13.11,1145.91,B,1 year,OWN,132942.0,Verified,debt_consolidation,10.77,0,731,70.23,Fully Paid,2026-04-06 21:00:00
REQ-00165,10300,60 months,12.71,209.88,A,3 years,MORTGAGE,50375.0,Source Verified,debt_consolidation,8.86,0,737,48.3,Fully Paid,2026-05-06 19:00:00
